catalogs,name,unit,brand,taxonomy,description,discount,hsn_code,search_keywords,featured_product,allow_cod,product_image_1,product_image_2,product_image_3,product_image_4,variant_1_name,variant_1_value,variant_2_name,variant_2_value,variant_3_name,variant_3_value,variant_image_1,variant_image_2,variant_image_3,variant_image_4,sku,selling_price,discounted_price,stock,shipping_weight,tax_percentage,add_ons,addon_mandatory,size_chart,image_tags,tag_1_name,tag_1_value,tag_2_name,tag_2_value,tag_3_name,tag_3_value,footnote_1_name,footnote_1_value,footnote_2_name,footnote_2_value,footnote_3_name,footnote_3_value
"Tshirt, Crew Neck, Solid Tshirt",T-SHIRT Crew Neck,Pcs,Nike,Apparel,This is  a crew neck T-shirt made in India.,Yes,Y8282,"red tshirt, solid tshirt, crew neck tshirt, crew neck",Yes,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807455-266651.jpeg,,,,Size,S,Colour,Red,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-1,1500,1300,10,1,5,,No,TShirt,"Trending, Bestseller",Print or Pattern Type,"Abstract,Faded,Chevron",Occasion,"Casula, Semiformal",Fabric,"Cotton,Lycra",Sleeve Length,Long Sleeves,Wash Care,Machine Wash,Colour,Red
,,,,,,,,,,,,,,,Size,S,Colour,Red,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-2,1700,1500,10,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,S,Colour,Green,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-3,1900,1700,10,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,S,Colour,Green,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-4,2100,1900,23,2,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,S,Colour,Blue,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-5,2300,2100,10,1,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,S,Colour,Blue,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-6,2500,2300,10,2,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,M,Colour,Red,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-7,2700,2500,10,2,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,M,Colour,Red,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-8,2900,2700,10,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,M,Colour,Green,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-9,3100,2900,20,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,M,Colour,Green,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-10,3300,3100,10,2,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,M,Colour,Blue,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-11,3500,3300,10,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,M,Colour,Blue,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-12,3700,3500,10,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,L,Colour,Red,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-13,3900,3700,10,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,L,Colour,Red,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-14,4100,3900,10,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,L,Colour,Green,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-15,4300,4100,10,1,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,L,Colour,Green,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-16,4500,4300,10,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,L,Colour,Blue,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-16,4700,4500,10,1,5,,,,,,,,,,,,,,,,
